countyFIPS,Geo_NAME,Geo_QNAME,stateFIPS,Geo_COUNTY,daysPhysUH,daysMentUH,fairPoorH,lowBwt,pcpRate,mhpRate,dentRate,uninsUnd19,unins1864,uninsUnd65,ypll,infMort,chiMort,premAAMort,drugMort,diabAdult,teenBirth,chlamRate,hivPrevRate,smokeRate,drinkRate,limHealthFood,accExer,obesity,physInact,freeLunch,fei,GEOID,NAME,area,popre,pop25,ed_lhs,mhhi,white,black,aian,asian,nhpi,othRace,multRace,hisp,other,nonhisp,ed_hssc,ed_bach,ed_grad,ed_4yr,unemp,incCat,Region,state
1001,Autauga County,"Autauga County, Alabama",1,1,4.4,4.3,19.4,8.786701209,39.82189,14.44174,32.49391,3.859072,17.481181,13.42053547,9215.1,7.054297,50.48834,456.4,7.82402,10.9,35.18352112,416.1112512,205.40684,18.7,15.1,9.793530396,70.8214986,30.9,28.7,36.9455593,7.1,05000US01001,"Autauga County, Alabama",594.4360885,55221,36319,12.81973623,51281,75.7827638,18.53642636,0.416508212,0.967023415,0.014487242,0.143061516,1.53202586,2.607703591,3.073106246,97.39229641,63.94999862,13.48330075,9.746964399,23.23026515,7.639584136,Middle-high income,South,Alabama
4001,Apache County,"Apache County, Arizona",4,1,5.7,5.3,29.5,6.950539675,29.19343,103.02389,68.21852,14.622248,28.29382,23.58182452,14319.8,6.976744,73.82881,535,5.991971,16.6,55.2249989,822.4605506,127.80783,25.6,14.6,43.82803865,22.13848262,32.8,21.8,NA,0.5,05000US04001,"Apache County, Arizona",11197.52035,72124,43194,23.21850257,31757,19.28068327,0.601741445,71.65160002,0.427042316,0.085963064,0.045754534,1.602795186,6.304420165,73.81315512,93.69557983,66.0068528,6.85280363,3.921840996,10.77464463,18.16639886,Low income,West,Arizona
5001,Arkansas County,"Arkansas County, Arkansas",5,1,4.6,4.2,21.1,11.42374789,53.25664,80.67118,37.64655,6.258412,22.561576,17.97585043,10678,NA,91.12136,490.6,NA,13,65.36890171,592.8435317,214.83635,22.4,13.9,7.922580215,48.40948525,34,37.1,54.6885035,6,05000US05001,"Arkansas County, Arkansas",988.7699866,18731,12947,17.8728663,36411,70.32192622,25.25225562,0.096097379,0.448454434,0,0,0.96631253,2.91495382,1.510864343,97.08504618,69.6918205,8.310805592,4.124507608,12.4353132,8.309715452,Low income,South,Arkansas
6001,Alameda County,"Alameda County, California",6,1,3.4,3.3,13,7.24314432,106.08712,492.69952,88.95532,5.950529,17.391618,14.41522675,4885.7,4.367028,38.0772,256.3,9.969371,9.1,21.83907019,416.7309869,410.9462,10.6,16.3,1.604128383,99.73316047,20,14.7,42.8335259,7.6,05000US06001,"Alameda County, California",739.0173545,1584983,1092189,13.05534115,75619,32.97871334,11.31873339,0.306060065,27.52124155,0.835529466,0.263599042,4.178530621,22.59759253,33.10496075,77.40240747,43.99028007,24.96820605,17.98617272,42.95437878,8.26424846,High income,West,California
8001,Adams County,"Adams County, Colorado",8,1,3.5,3.3,15.8,8.722470608,47.52842,269.80475,55.3339,10.6523,25.646917,20.91620515,6480.6,6.032502,42.69871,337.8,19.439393,7.6,47.49798906,431.2464371,193.61111,18.1,18.5,4.530165918,94.65447472,25.8,20,44.6999652,8.1,05000US08001,"Adams County, Colorado",1167.653138,471206,296842,17.74142473,58946,52.06427762,3.020759498,0.462430444,3.657211496,0.124149523,0.205005879,1.817676345,38.6484892,6.266473687,61.3515108,60.04237945,15.17305503,7.043140795,22.21619582,7.934135336,High income,West,Colorado
9001,Fairfield County,"Fairfield County, Connecticut",9,1,2.8,3.2,11.8,7.630721365,90.11559,258.39875,90.22273,5.980098,16.267712,13.31661342,4426.8,4.762652,35.14186,223.5,10.605932,8.3,15.41483157,295.0199982,345.12255,14.2,18.3,2.563960775,96.78904136,20.8,20.3,29.6633297,8.4,05000US09001,"Fairfield County, Connecticut",624.8895547,939983,634872,10.33562671,84233,64.07679713,10.38774105,0.140959996,5.003388359,0.031489931,0.49734942,1.593858612,18.26841549,7.267046319,81.73158451,43.85230409,25.65603775,20.15603145,45.8120692,8.990435957,High income,Northeast,Connecticut
10001,Kent County,"Kent County, Delaware",10,1,3.6,3.8,15.7,8.476974531,60.79709,159.31437,39.53787,4.691021,12.683613,10.35581367,7781.6,6.52299,51.98663,379,20.627508,11.7,32.34109488,699.1755456,246.52622,18.2,15.3,4.833615551,69.49910665,33.2,28.1,47.0273392,7.7,05000US10001,"Kent County, Delaware",586.1788147,169509,110480,13.64862419,54976,63.68157443,23.42589479,0.555132766,2.07245633,0.027727141,0.248364394,3.442885039,6.545965111,6.346565669,93.45403489,63.81517017,14.10391021,8.432295438,22.53620565,8.404138771,High income,South,Delaware
11001,District of Columbia County,"District of Columbia County, District of Columbia",11,1,2.8,3.2,12.7,10.21426566,115.86374,443.62286,117.01445,3.059202,8.784689,7.578031462,7782.4,9.839788,89.67392,394.6,14.19234,8.3,44.25991338,1014.355005,2812.47392,15.8,24.9,0.952962465,100,22.1,17,58.0949366,8,05000US11001,"District of Columbia, District of Columbia",61.04842493,647484,453952,10.66852883,70848,35.59763639,47.98234397,0.195371623,3.62850665,0.033668786,0.276454708,2.123141267,10.16287661,6.257143034,89.83712339,34.75477584,23.32405188,31.25264345,54.57669533,9.584718408,High income,South,District of Columbia
12001,Alachua County,"Alachua County, Florida",12,1,4,3.9,16.4,8.705522381,149.53581,500.42905,157.96864,9.693417,21.93574,19.09718273,6625,8.079614,75.3283,329.8,8.53861,8.4,19.46134,721.5104786,408.93161,18.2,20.3,7.183420908,83.5345441,25.3,19.2,42.313268,6.1,05000US12001,"Alachua County, Florida",875.0200603,254218,151184,7.437956398,43073,62.71625141,19.55959059,0.29226884,5.645548309,0.189207688,0.244671896,2.48290837,8.869552903,8.854605103,91.1304471,50.99547571,21.53204043,20.03452746,41.56656789,7.858113231,Low-middle income,South,Florida
13001,Appling County,"Appling County, Georgia",13,1,4.3,4.1,19.9,10.65217391,48.80694,37.7562,10.78749,12.285834,29.226895,24.05121171,11086.3,NA,80.51098,514.8,NA,13,86.21553885,381.097561,132.86388,17.9,14.2,5.840546911,29.3156394,35.2,29.6,61.9354839,6.6,05000US13001,"Appling County, Georgia",507.0810706,18417,12197,23.80913339,37135,69.63674866,18.89015583,0.114025086,0.83618396,0.065157192,0,1.102242493,9.355486779,2.117608731,90.64451322,63.06468804,8.198737394,4.927441174,13.12617857,7.941674261,Low income,South,Georgia
